,A,B
10/15/2001,0.636741291,0.6419
10/16/2001,0.638086011,0.6385
10/17/2001,0.636307339,0.6365
10/18/2001,0.635139531,0.6336
10/19/2001,0.63511235,0.6354
10/22/2001,0.63486064,0.6335
10/23/2001,0.631707667,0.6364
10/24/2001,0.632758669,0.6353
10/25/2001,0.633315349,0.6354
10/26/2001,0.634439468,0.6343
10/29/2001,0.632589374,0.6349
10/30/2001,0.631441854,0.6336
10/31/2001,0.632182185,0.6295
11/1/2001,0.632994932,0.6269
11/2/2001,0.632883754,0.6287
11/5/2001,0.633298214,0.6276
11/6/2001,0.633991344,0.6279
11/7/2001,0.631821674,0.6263
11/8/2001,0.629936534,0.6255
11/9/2001,0.630557226,0.6239
11/12/2001,0.630525219,0.6239
11/13/2001,0.631555063,0.6274
11/14/2001,0.632295381,0.6281
11/15/2001,0.631302342,0.6295
11/16/2001,0.633440306,0.629
11/19/2001,0.634132275,0.6288
11/20/2001,0.633796419,0.6271
11/21/2001,0.630937422,0.6249
11/22/2001,0.631771854,0.6252
11/23/2001,0.63119391,0.6254
11/26/2001,0.630048537,0.6252
11/27/2001,0.632295158,0.628
11/28/2001,0.630628323,0.6312
11/29/2001,0.632266373,0.6327
11/30/2001,0.632176322,0.6357
12/3/2001,0.63124662,0.6344
12/4/2001,0.632304646,0.6364
12/5/2001,0.635508153,0.6348
12/6/2001,0.635054576,0.6358
12/7/2001,0.634008124,0.635
12/10/2001,0.633488071,0.6336
12/11/2001,0.633452996,0.6361
12/12/2001,0.633545231,0.6384
12/13/2001,0.632027283,0.6369
12/14/2001,0.630941325,0.6411
12/17/2001,0.631882132,0.6374
12/18/2001,0.632848453,0.6351
12/19/2001,0.630707935,0.6348
12/20/2001,0.62920035,0.6333
12/21/2001,0.628578262,0.6305
12/24/2001,0.62872784,0.6277
12/25/2001,0.629137653,0.6269
12/26/2001,0.627420336,0.6247
12/27/2001,0.631514906,0.6257
12/28/2001,0.630149535,0.6287
12/31/2001,0.637566229,0.6276
1/1/2002,0.636106463,0.628
1/2/2002,0.633792079,0.6263
1/3/2002,0.63450009,0.6256
1/4/2002,0.635869226,0.6267
1/7/2002,0.636268906,0.6258
1/8/2002,0.633876982,0.6269
1/9/2002,0.633140952,0.6261
1/10/2002,0.632468309,0.6261
1/11/2002,0.630889058,0.6266
1/14/2002,0.627303185,0.6271
1/15/2002,0.630754553,0.6298
1/16/2002,0.62889453,0.6255
1/17/2002,0.631329832,0.6206
1/18/2002,0.628830735,0.6198
1/21/2002,0.630640811,0.6209
1/22/2002,0.629386099,0.6217
1/23/2002,0.628733821,0.6242
1/24/2002,0.628272786,0.6236
1/25/2002,0.629164954,0.6213
1/28/2002,0.628438774,0.6251
1/29/2002,0.62825335,0.6272
1/30/2002,0.62780959,0.6299
1/31/2002,0.63019849,0.6295
2/1/2002,0.632651352,0.6282
2/4/2002,0.629636009,0.6261
2/5/2002,0.629038099,0.6259
2/6/2002,0.628387618,0.6226
2/7/2002,0.629318411,0.6253
2/8/2002,0.632849911,0.6254
2/11/2002,0.633843096,0.6285
2/12/2002,0.632739611,0.6281
2/13/2002,0.634290736,0.629
2/14/2002,0.633956139,0.628
2/15/2002,0.633848982,0.6289
2/18/2002,0.634020376,0.6277
2/19/2002,0.63210153,0.6291
2/20/2002,0.632850744,0.6295
2/21/2002,0.633178607,0.6286
2/22/2002,0.633067207,0.6264
2/25/2002,0.632911173,0.6246
2/26/2002,0.633073746,0.621
2/27/2002,0.633595108,0.6218
2/28/2002,0.630874538,0.6243
3/1/2002,0.633889086,0.6281
3/4/2002,0.634178928,0.6287
3/5/2002,0.635345177,0.6299
3/6/2002,0.635141038,0.6325
3/7/2002,0.636252992,0.6313
3/8/2002,0.639097741,0.6303
3/11/2002,0.639751974,0.6321
3/12/2002,0.641100711,0.6303
3/13/2002,0.641320508,0.627
3/14/2002,0.641430295,0.6284
3/15/2002,0.651495649,0.6319
3/18/2002,0.651600239,0.6314
3/19/2002,0.65146393,0.6308
3/20/2002,0.649679663,0.6327
3/21/2002,0.654085554,0.6338
3/22/2002,0.652214106,0.634
3/25/2002,0.649782948,0.6314
3/26/2002,0.649203836,0.6282
3/27/2002,0.649672687,0.627
3/28/2002,0.647053939,0.628
3/29/2002,0.645330515,0.627
4/1/2002,0.646309957,0.6264
4/2/2002,0.647589784,0.6276
4/3/2002,0.644797617,0.6289
4/4/2002,0.64140984,0.6273
4/5/2002,0.640969696,0.6297
4/8/2002,0.640213271,0.6268
4/9/2002,0.639178648,0.6267
4/10/2002,0.638757186,0.6279
4/11/2002,0.635376442,0.6295
4/12/2002,0.633443333,0.6305
4/15/2002,0.635945241,0.6302
4/16/2002,0.63675064,0.6321
4/17/2002,0.63953381,0.635
4/18/2002,0.638952111,0.6351
4/19/2002,0.639213396,0.6361
4/22/2002,0.639360077,0.6367
4/23/2002,0.639257498,0.6358
4/24/2002,0.638171845,0.638
4/25/2002,0.637160489,0.639
4/26/2002,0.63779888,0.6402
4/29/2002,0.638207908,0.6381
4/30/2002,0.640786737,0.6378
5/1/2002,0.63935422,0.6411
5/2/2002,0.638177609,0.6402
5/3/2002,0.638650059,0.6388
5/6/2002,0.636743208,0.6374
5/7/2002,0.637913761,0.6381
5/8/2002,0.639741834,0.6368
5/9/2002,0.639474215,0.6383
5/10/2002,0.640659252,0.6417
5/13/2002,0.642013191,0.6432
5/14/2002,0.643745254,0.6417
5/15/2002,0.641139907,0.6423
5/16/2002,0.641082659,0.6432
5/17/2002,0.64022473,0.6477
5/20/2002,0.640913725,0.6485
5/21/2002,0.638698771,0.6507
5/22/2002,0.638423864,0.6526
5/23/2002,0.639200717,0.651
5/24/2002,0.638158294,0.6526
5/27/2002,0.638851085,0.6523
5/28/2002,0.638970591,0.6532
5/29/2002,0.640352246,0.6516
5/30/2002,0.637146037,0.6517
5/31/2002,0.640592887,0.6545
6/3/2002,0.641439712,0.6546
6/4/2002,0.642163385,0.6529
6/5/2002,0.641321894,0.6525
6/6/2002,0.641375076,0.6523
6/7/2002,0.640380495,0.6527
6/10/2002,0.639782678,0.6496
6/11/2002,0.640106553,0.6512
6/12/2002,0.640661414,0.6513
6/13/2002,0.642169819,0.6496
6/14/2002,0.642143787,0.6465
6/17/2002,0.64285267,0.6466
6/18/2002,0.642160339,0.6471
6/19/2002,0.642672334,0.6491
6/20/2002,0.64340483,0.6547
6/21/2002,0.64248995,0.6577
6/24/2002,0.644101911,0.6575
6/25/2002,0.64510292,0.6599
6/26/2002,0.644838383,0.6583
6/27/2002,0.64486995,0.6618
6/28/2002,0.650864268,0.6584
7/1/2002,0.651610945,0.6595
7/2/2002,0.651083092,0.6548
7/3/2002,0.650406216,0.653
7/4/2002,0.649957361,0.6544
7/5/2002,0.651127769,0.6567
7/8/2002,0.650491095,0.6564
7/9/2002,0.651967449,0.6612
7/10/2002,0.65239341,0.6578
7/11/2002,0.652262058,0.6556
7/12/2002,0.652462923,0.652
7/15/2002,0.651797598,0.6499
7/16/2002,0.652047853,0.6502
7/17/2002,0.652280483,0.6496
7/18/2002,0.652744575,0.6472
7/19/2002,0.653300038,0.6479
7/22/2002,0.650928336,0.6392
7/23/2002,0.648191796,0.6315
7/24/2002,0.650103152,0.6398
7/25/2002,0.648465158,0.6376
7/26/2002,0.647266249,0.6301
7/29/2002,0.647012518,0.636
7/30/2002,0.646734821,0.6349
7/31/2002,0.650825648,0.6314
8/1/2002,0.648833778,0.6286
8/2/2002,0.648059781,0.6312
8/5/2002,0.647753754,0.6264
8/6/2002,0.646379588,0.6308
8/7/2002,0.645482369,0.6339
8/8/2002,0.644878397,0.633
8/9/2002,0.644382891,0.6359
8/12/2002,0.645104171,0.6354
8/13/2002,0.644994448,0.6391
8/14/2002,0.644534062,0.6395
8/15/2002,0.644321933,0.6414
8/16/2002,0.643158132,0.6413
8/19/2002,0.643575783,0.6354
8/20/2002,0.643339899,0.6377
8/21/2002,0.643685847,0.6437
8/22/2002,0.644682705,0.6414
8/23/2002,0.643948769,0.6424
8/26/2002,0.644108674,0.643
8/27/2002,0.644074225,0.6435
8/28/2002,0.645370461,0.6418
8/29/2002,0.644876313,0.6415
8/30/2002,0.643985913,0.6416
9/2/2002,0.642563578,0.6422
9/3/2002,0.645109424,0.6439
9/4/2002,0.641554294,0.6382
9/5/2002,0.640048893,0.6359
9/6/2002,0.639913439,0.6411
9/9/2002,0.638378927,0.6394
9/10/2002,0.637696547,0.6361
9/11/2002,0.63723705,0.6329
9/12/2002,0.641918215,0.6299
9/13/2002,0.640898839,0.6313
9/16/2002,0.640521926,0.6323
9/17/2002,0.641292278,0.6323
9/18/2002,0.641173365,0.6335
9/19/2002,0.6410278,0.6353
9/20/2002,0.642133585,0.6359
9/23/2002,0.639412551,0.6321
9/24/2002,0.639908612,0.6303
9/25/2002,0.641186918,0.6332
9/26/2002,0.640849662,0.6352
9/27/2002,0.640902121,0.6334
9/30/2002,0.643642717,0.6302
10/1/2002,0.643145764,0.6321
10/2/2002,0.64270377,0.6292
10/3/2002,0.644498628,0.6282
10/4/2002,0.644791123,0.6277
10/7/2002,0.643852344,0.6268
10/8/2002,0.642428803,0.6259
10/9/2002,0.642586752,0.6263
10/10/2002,0.640686605,0.6289
10/11/2002,0.637197556,0.6303
10/14/2002,0.636017173,0.6305
10/15/2002,0.63526087,0.6299
10/16/2002,0.635295549,0.6315
10/17/2002,0.63371477,0.637
10/18/2002,0.63456039,0.6355
10/21/2002,0.634518312,0.6395
10/22/2002,0.635245966,0.6377
10/23/2002,0.634374379,0.6391
10/24/2002,0.635336475,0.6387
10/25/2002,0.637206533,0.638
10/28/2002,0.639180154,0.6421
10/29/2002,0.640655665,0.6394
10/30/2002,0.6399347,0.6388
10/31/2002,0.637067193,0.6416
11/1/2002,0.633608381,0.6417
11/4/2002,0.635306361,0.6428
11/5/2002,0.63559152,0.642
11/6/2002,0.636147601,0.644
11/7/2002,0.635689732,0.6424
11/8/2002,0.63718948,0.6387
11/11/2002,0.636691995,0.6372
11/12/2002,0.638145434,0.6335
11/13/2002,0.639824585,0.6342
11/14/2002,0.638244345,0.635
11/15/2002,0.637361279,0.6311
11/18/2002,0.635524061,0.6293
11/19/2002,0.633954129,0.6312
11/20/2002,0.631857586,0.6307
11/21/2002,0.631698857,0.6342
11/22/2002,0.630049618,0.6339
11/25/2002,0.631990891,0.6359
11/26/2002,0.633231355,0.6349
11/27/2002,0.634006088,0.6357
11/28/2002,0.632732119,0.6357
11/29/2002,0.632718044,0.6389
12/2/2002,0.632901427,0.6421
12/3/2002,0.634047857,0.6425
12/4/2002,0.634419111,0.6405
12/5/2002,0.634035019,0.6394
12/6/2002,0.637424605,0.6392
12/9/2002,0.636680476,0.64
12/10/2002,0.635886184,0.6412
12/11/2002,0.635856326,0.6426
12/12/2002,0.635390185,0.6434
12/13/2002,0.63486831,0.6405
12/16/2002,0.633879298,0.6407
12/17/2002,0.634722141,0.6461
12/18/2002,0.635687923,0.6437
12/19/2002,0.636716287,0.6442
12/20/2002,0.636641546,0.6446
12/23/2002,0.63674645,0.6444
12/24/2002,0.636728533,0.6461
12/25/2002,0.637329928,0.6459
12/26/2002,0.638130761,0.6416
12/27/2002,0.638106634,0.6374
12/30/2002,0.63865524,0.6345
12/31/2002,0.638570606,0.6359
1/1/2003,0.638811574,0.6355
1/2/2003,0.63661421,0.6379
1/3/2003,0.636653443,0.6393
1/6/2003,0.636878976,0.6411
1/7/2003,0.636875031,0.6397
1/8/2003,0.636512822,0.6408
1/9/2003,0.635245592,0.6444
1/10/2003,0.637923527,0.6469
1/13/2003,0.638195331,0.6483
1/14/2003,0.639225377,0.6491
1/15/2003,0.641135025,0.6509
1/16/2003,0.641686314,0.6521
1/17/2003,0.640958415,0.6514
1/20/2003,0.641241521,0.6516
1/21/2003,0.642912474,0.6526
1/22/2003,0.644510329,0.6531
1/23/2003,0.644694543,0.6561
1/24/2003,0.645564465,0.6582
1/27/2003,0.646376097,0.655
1/28/2003,0.647122657,0.6542
1/29/2003,0.648110986,0.6584
1/30/2003,0.649300661,0.6542
1/31/2003,0.650757029,0.6573
2/3/2003,0.651370446,0.6594
2/4/2003,0.653033175,0.6599
2/5/2003,0.653004528,0.6574
2/6/2003,0.653083853,0.6591
2/7/2003,0.654079668,0.6577
2/10/2003,0.653733135,0.6529
2/11/2003,0.653996706,0.6549
2/12/2003,0.653003697,0.6529
2/13/2003,0.652910139,0.659
2/14/2003,0.653005603,0.6565
2/17/2003,0.654698038,0.6577
2/18/2003,0.654200568,0.6593
2/19/2003,0.655719489,0.6611
2/20/2003,0.65634989,0.664
2/21/2003,0.656822066,0.6643
2/24/2003,0.657848447,0.6699
2/25/2003,0.657190564,0.6685
2/26/2003,0.659200278,0.6698
2/27/2003,0.659756152,0.6695
2/28/2003,0.660636206,0.6735
3/3/2003,0.660155779,0.6733
3/4/2003,0.664880635,0.6773
3/5/2003,0.664098028,0.6807
3/6/2003,0.663794169,0.6797
3/7/2003,0.66525998,0.6822
3/10/2003,0.666302258,0.6833
3/11/2003,0.666565811,0.6795
3/12/2003,0.666513301,0.6769
3/13/2003,0.664628148,0.6735
3/14/2003,0.664648421,0.6786
3/17/2003,0.666071201,0.676
3/18/2003,0.665158743,0.6781
3/19/2003,0.666956965,0.6737
3/20/2003,0.668786424,0.6749
3/21/2003,0.666718689,0.6694
3/24/2003,0.667042603,0.6754
3/25/2003,0.668771662,0.6772
3/26/2003,0.66986594,0.681
3/27/2003,0.668555786,0.6834
3/28/2003,0.67140114,0.6791
3/31/2003,0.674827768,0.6814
4/1/2003,0.675152387,0.6793
4/2/2003,0.674847189,0.6806
4/3/2003,0.673338579,0.6779
4/4/2003,0.672822909,0.6787
4/7/2003,0.67310231,0.6768
4/8/2003,0.675007815,0.6813
4/9/2003,0.675244679,0.6817
4/10/2003,0.673741104,0.6874
4/11/2003,0.677734046,0.688
4/14/2003,0.675719028,0.6875
4/15/2003,0.671655282,0.69
4/16/2003,0.672292996,0.6871
4/17/2003,0.671486764,0.6893
4/18/2003,0.672686782,0.6894
4/21/2003,0.670206624,0.6874
4/22/2003,0.672772363,0.691
4/23/2003,0.676183147,0.6882
4/24/2003,0.6724497,0.6872
4/25/2003,0.67368254,0.6912
4/28/2003,0.675106718,0.6906
4/29/2003,0.675656282,0.6937
4/30/2003,0.686000596,0.6993
5/1/2003,0.686868109,0.7046
5/2/2003,0.685078768,0.7048
5/5/2003,0.686944049,0.7086
5/6/2003,0.691728688,0.7174
5/7/2003,0.68947667,0.7155
5/8/2003,0.686097117,0.7171
5/9/2003,0.686625845,0.7179
5/12/2003,0.689051683,0.7199
5/13/2003,0.689713681,0.7215
5/14/2003,0.692069785,0.7277
5/15/2003,0.691909975,0.7245
5/16/2003,0.69561904,0.7314
5/19/2003,0.693402675,0.7341
5/20/2003,0.694623095,0.7423
5/21/2003,0.691576741,0.7391
5/22/2003,0.689205867,0.7284
5/23/2003,0.68484421,0.728
5/26/2003,0.684745209,0.7287
5/27/2003,0.687309443,0.7264
5/28/2003,0.689657041,0.7221
5/29/2003,0.689556793,0.7322
5/30/2003,0.69244925,0.7318
6/2/2003,0.696099575,0.7306
6/3/2003,0.698415435,0.7329
6/4/2003,0.700591685,0.7347
6/5/2003,0.701763813,0.746
6/6/2003,0.699127497,0.7359
6/9/2003,0.698540308,0.7363
6/10/2003,0.703782728,0.7334
6/11/2003,0.706768918,0.7399
6/12/2003,0.709476386,0.7418
6/13/2003,0.704733045,0.7495
6/16/2003,0.70888276,0.7444
6/17/2003,0.710485551,0.748
6/18/2003,0.706892,0.7486
6/19/2003,0.710421724,0.7437
6/20/2003,0.713782695,0.7354
6/23/2003,0.710389251,0.7361
6/24/2003,0.713845168,0.7351
6/25/2003,0.711280298,0.7417
6/26/2003,0.712299107,0.7368
6/27/2003,0.71232271,0.7422
6/30/2003,0.712249017,0.7425
7/1/2003,0.712920878,0.7392
7/2/2003,0.714778166,0.7476
7/3/2003,0.71496537,0.7482
7/4/2003,0.715416594,0.7459
7/7/2003,0.720196866,0.7416
7/8/2003,0.7213734,0.7331
7/9/2003,0.723886621,0.7275
7/10/2003,0.722177721,0.7232
7/11/2003,0.728565346,0.7266
7/14/2003,0.730906949,0.7281
7/15/2003,0.720457688,0.7182
7/16/2003,0.717728536,0.7195
7/17/2003,0.712100656,0.7159
7/18/2003,0.714355568,0.7108
7/21/2003,0.713932987,0.7116
7/22/2003,0.715450354,0.7059
7/23/2003,0.718060589,0.7157
7/24/2003,0.716357632,0.7168
7/25/2003,0.719178341,0.7241
7/28/2003,0.715793853,0.7213
7/29/2003,0.710135852,0.7213
7/30/2003,0.710614427,0.7138
7/31/2003,0.711827052,0.7116
8/1/2003,0.704951658,0.7147
8/4/2003,0.706575163,0.7121
8/5/2003,0.705689038,0.714
8/6/2003,0.700566082,0.7121
8/7/2003,0.70592191,0.7182
8/8/2003,0.712308185,0.7187
8/11/2003,0.715633523,0.7242
8/12/2003,0.72047244,0.7221
8/13/2003,0.721330977,0.725
8/14/2003,0.723747188,0.7176
8/15/2003,0.722495269,0.7212
8/18/2003,0.72236345,0.7186
8/19/2003,0.72470921,0.7163
8/20/2003,0.725448511,0.7134
8/21/2003,0.725212473,0.7107
8/22/2003,0.72254175,0.7138
8/25/2003,0.719369117,0.7137
8/26/2003,0.722044585,0.7176
8/27/2003,0.726994419,0.713
8/28/2003,0.725486794,0.7167
8/29/2003,0.722636291,0.7213
9/1/2003,0.723211154,0.7254
9/2/2003,0.725737655,0.7177
9/3/2003,0.73087444,0.7251
9/4/2003,0.734809419,0.7289
9/5/2003,0.735351931,0.7305
9/8/2003,0.735737236,0.7275
9/9/2003,0.733247522,0.7315
9/10/2003,0.732912914,0.7311
9/11/2003,0.735608459,0.7296
9/12/2003,0.737506807,0.7324
9/15/2003,0.736438426,0.7318
9/16/2003,0.739719891,0.7305
9/17/2003,0.737242802,0.7322
9/18/2003,0.737173078,0.7348
9/19/2003,0.737371437,0.7416
9/22/2003,0.736502421,0.7405
9/23/2003,0.737447489,0.7371
9/24/2003,0.735378546,0.7411
9/25/2003,0.729475486,0.7412
9/26/2003,0.729136607,0.739
9/29/2003,0.731176313,0.7397
9/30/2003,0.730302478,0.7397
10/1/2003,0.737067508,0.7424
10/2/2003,0.740398925,0.7462
10/3/2003,0.740543392,0.7441
10/6/2003,0.742620337,0.746
10/7/2003,0.742462007,0.7509
10/8/2003,0.745843826,0.7494
10/9/2003,0.749240882,0.7469
10/10/2003,0.75230417,0.757
10/13/2003,0.754687952,0.7576
10/14/2003,0.759474676,0.7555
10/15/2003,0.757838523,0.7531
10/16/2003,0.756496552,0.7585
10/17/2003,0.751708263,0.76
10/20/2003,0.752191284,0.7576
10/21/2003,0.754510828,0.76
10/22/2003,0.749327363,0.7671
10/23/2003,0.747587968,0.7646
10/24/2003,0.746602087,0.7648
10/27/2003,0.746445297,0.7628
10/28/2003,0.751733449,0.7633
10/29/2003,0.754312445,0.7623
10/30/2003,0.753321459,0.7611
10/31/2003,0.756958822,0.7576
11/3/2003,0.757619915,0.7475
11/4/2003,0.759185971,0.7523
11/5/2003,0.759892696,0.7496
11/6/2003,0.759614228,0.7467
11/7/2003,0.762415327,0.7563
11/10/2003,0.761438466,0.7614
11/11/2003,0.762191525,0.7622
11/12/2003,0.763473075,0.7667
11/13/2003,0.763205119,0.7697
11/14/2003,0.764657595,0.7677
11/17/2003,0.758757762,0.7626
11/18/2003,0.759577011,0.7703
11/19/2003,0.756999647,0.7667
11/20/2003,0.754788904,0.7678
11/21/2003,0.752693885,0.7678
11/24/2003,0.754725052,0.7591
11/25/2003,0.757717228,0.7632
11/26/2003,0.758365674,0.7671
11/27/2003,0.758278158,0.7649
11/28/2003,0.759651143,0.769
12/1/2003,0.76481141,0.7674
12/2/2003,0.769396402,0.7708
12/3/2003,0.771650516,0.7687
12/4/2003,0.775452471,0.7621
12/5/2003,0.774573631,0.7663
12/8/2003,0.781895634,0.7703
12/9/2003,0.780567676,0.7658
12/10/2003,0.778205625,0.7644
12/11/2003,0.776853498,0.7586
12/12/2003,0.778927129,0.76
12/15/2003,0.776803488,0.7624
12/16/2003,0.778583087,0.7535
12/17/2003,0.778629351,0.7536
12/18/2003,0.777483987,0.7524
12/19/2003,0.776125116,0.7484
12/22/2003,0.772333837,0.7511
12/23/2003,0.771695298,0.7557
12/24/2003,0.771671156,0.7652
12/25/2003,0.771344545,0.764
12/26/2003,0.768362499,0.7652
12/29/2003,0.769376954,0.7638
